вкус_пряный_тмин,1,Нравится тмин на вкус?,
аромат_грибной_трюфель,1,Хочешь попробовать трюфель?,
вкус_сухофрукты_изюм,1,Любишь изюм?,
вкус_сладкий_выпечка_заварной крем,1,Нравится вкус заварного крема?,вкус_сладкий_кремовый
аромат_цветочный_пион,1,Нравится запах пионов?,
аромат_пряный_мускус,1,Нравится мускусный запах?,
аромат_цветочный_акация,1,Любишь запах акации?,
вкус_пряный_кардамон,1,Нравится чай масала?,
вкус_сладкий_печеное ябоко,1,Любишь печеные яблоки на десерт?,
вкус_сладкий_какао,1,Будешь какао?,
вкус_сухофрукты_курага,1,Любишь курагу?,
вкус_фруктовый_нектарин,1,Нравятся некатрины?,
вкус_сладкий_сироп,1,Полил бы блинчики ягодным сиропом?,
аромат_горький_маслина,1,Любишь маслины или оливки?,
аромат_цветочный_липа,1,Нравится запах липы?,
вкус_ягодный_ежевика,1,Любишь ежевику?,
аромат_травяной_шалфей,1,Будешь чай с шалфеем?,
аромат_травяной_бергамот,1,Любишь чай с бергамотом?,
аромат_цветочный_ирис,1,"Нравится, как пахнут ирисы?",
вкус_сладкий_конфетный_цуккат,1,Нравятся цуккаты?,
вкус_фруктовый_абрикос,1,Любишь абрикосы?,
вкус_сладкий_конфетный_карамель,1,Будешь карамельку?,
вкус_ягодный_шиповник,1,Попробовал бы отвар шиповника?,
вкус_ягодный_черная смородина,1,Любишь черную смородину?,
аромат_копчёность,1,Нравится запах копченостей?,
вкус_сладкий_выпечка_бисквит,1,Любишь бисквитное печенье?,
аромат_травяной_зелень,1,Добавляешь зелень в еду?,
аромат_жареный,1,Нравится как пахнет жареное мясо?,
аромат_цветочный_жасмин,1,Нравится запах жасмина?,
вкус_сладкий_ликер,1,Любишь ликеры?,
вкус_кокос,1,Люишь кокос?,
аромат_цветочный_ромашка,1,Нравится запах ромашки?,
аромат_древесный_смола,1,Нравится запах смолы?,
вкус_фруктовый_цитрусовый_гранат,1,Любишь гранат?,
вкус_ягодный_земляника,1,Любишь землянику?,
вкус_солоноватый,1,Будешь крекер?,
вкус_ягодный_клюква,1,Любишь клюкву?,
вкус_пряный_мускатный орех,1,Добавил бы мускатный орех в блюдо?,вкус_пряный_мускат
аромат_земля,1,Нравится запах дождя?,
вкус_фруктовый_папайя,2,Нравится вкус папайи?,
вкус_сладкий_конфетный_конфитюр,2,Любишь варенье?,вкус_сладкий_варенье
вкус_ягодный_крыжовник,2,Любишь крыжовник?,
аромат_цветочный_роза,2,Нравится запах роз?,
вкус_сладкий_конфетный_марципан,2,Съел бы конфеты с марципаном?,
вкус_ореховый_фундук,2,Любишь орехи?,
